Uuendatud,01.05.2018,
Dokumendi liigid,,
AK,arengukava,
STR,Strateegia,
TK,tegevuskava,
VR,Valge Raamat,
RR,Roheline Raamat,
KODAR,Kodanikuühiskonna arengukava,
Organisatsioonid,,
VV,Vabariigi Valitsus,
RAM,rahandusministeerium,
ITAO,infoühiskonna teenuste arendamise osakond,
MKM,majandus- ja kommunikatsiooniministeerium,
SIM,Siseministeerium,
KEM,Keskkonnaministeerium,
EMSL,Vabaühenduste liit,
RK,Riigikantselei,
SAK,Säästva arengu komisjon,
EKAK,avaliku sektori ja kodanikuühenduste ühiskomisjon,
Mõõdikud,,
SDG,Üleilmsed säästva arengu eesmärgid,https://riigikantselei.ee/sites/default/files/content-editors/Failid/eesti_saastva_arengu_naitajate_nimekiri_20.12.2017.pdf
Muu,,
AVP,avatud valitsemise partnerlus,
IÜ,infoühiskond,