Dokumendi kood,Objekti/Mõõdiku kood,Objekti/Mõõdiku nimetus,Eesmärk,Eelarve 2018,Tegelik 2018,Eelarve 2019,Tegelik 2019,Eelarve 2020,Tegelik 2020,Eelarve 2021,Tegelik 2021
,SDG,,,,,,,,,,
,SDG-01,,,,,,,,,,
,SDG-02,,,,,,,,,,
,SDG-03,,,,,,,,,,
,SDG-04,,,,,,,,,,
,SDG-05,,,,,,,,,,
,SDG-06,,,,,,,,,,
,SDG-07,,,,,,,,,,
,SDG-08,,,,,,,,,,
,SDG-09,,,,,,,,,,
,SDG-10,,,,,,,,,,
,SDG-11,Vaimne ja materiaalne pärandkultuur/vai mse ja materiaalse kultuuripärandi säilimine,,,,,,,,,
,SDG-11-01,Heas ja rahuldavas seisukorras olevate ehitismälestiste osakaal,,,,,,,,,
,SDG-11-02,Linnades toimunud liiklusõnnetuste tagajärjel vigastatute ja hukkunute arv,,,,,,,,,
,SDG-11-03,"Peenosakesed PM10 ja PM2,5 välisõhus",,,,,,,,,
,SDG-11-04,Rohealad linnades,,,,,,,,,
,SDG-11-05,Rahulolu eluruumide seisundiga,,,,,,,,,
,SDG-11-06,"Ühistranspordiga, jalgrattaga või jalgsi tööl käijate osakaal",,,,,,,,,
,SDG-12,,,,,,,,,,
,SDG-13,,,,,,,,,,
,SDG-14,,,,,,,,,,
,SDG-15,,,,,,,,,,
,SDG-16,,,,,,,,,,
,SDG-17,,,,,,,,,,